"ID","Item title","Final URL","Image URL","Item subtitle","Item description","Item Category","Price","Sale Price"
"8183162","ARTENGO FT730 INDOOR hálószett","http://www.decathlon.hu/artengo-ft730-indoor-haloszett-id_8183162.html","http://www.decathlon.hu/media/818/8183162/big_134753.jpg","ARTENGO","Hálókészlet ARTENGO FT730 I pingpongasztalokhoz. ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","3690.00 HUF",""
"8170359","NAGY KERESZTMEREVÍTŐ, BAL","http://www.decathlon.hu/nagy-keresztmerevito-bal--id_8170359.html","http://www.decathlon.hu/media/817/8170359/big_829354.jpg","ARTENGO","Baloldali nagy keresztmerevítő ARTENGO asztalhoz.","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","2390.00 HUF",""
"8029169","ARTENGO kerék 730I, 714 O, 744","http://www.decathlon.hu/artengo-kerek-730i-714-o-744-id_8029169.html","http://www.decathlon.hu/media/802/8029169/big_634164.jpg","ARTENGO","Fekete és szürke.  ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","5190.00 HUF",""
"5958103","Hálótartó, csavar 719 I","http://www.decathlon.hu/halotarto-csavar-719-i-id_5958103.html","http://www.decathlon.hu/media/595/5958103/big_1315304.jpg","ARTENGO","Jól tartó ARTENGO hálótartók 719 I, Vista, 822 I!","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","3890.00 HUF",""
"5582251","2004 jobb görgő","http://www.decathlon.hu/2004-jobb-gorgo-id_5582251.html","http://www.decathlon.hu/media/558/5582251/big_87219d18a06d429cb031a9c261577781.jpg","SANS MARQUE","","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","1290.00 HUF",""
"8300194","Hálótartó Artengo FT 720-hoz","http://www.decathlon.hu/halotarto-artengo-ft-720-hoz-id_8300194.html","http://www.decathlon.hu/media/830/8300194/big_134980.jpg","ARTENGO","ARTENGO FT720 O levehető tartókeret","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","5190.00 HUF",""
"8029170","714 O csavar és véglezáró kitt","http://www.decathlon.hu/714-o-csavar-es-veglezaro-kitt-id_8029170.html","http://www.decathlon.hu/media/802/8029170/big_918714.jpg","ARTENGO","Csavarkészlet Artengo 714 kültéri","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","7790.00 HUF",""
"8193182","Műanyag sarokelem - FT730 I","http://www.decathlon.hu/muanyag-sarokelem-ft730-i--id_8193182.html","http://www.decathlon.hu/media/819/8193182/big_806840.jpg","ARTENGO","Műanyag sarokelem ARTENGO FT730 I asztalhoz. ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","590.00 HUF",""
"8171176","Hálótartó rögzítő","http://www.decathlon.hu/halotarto-rogzito-id_8171176.html","http://www.decathlon.hu/media/817/8171176/big_829993.jpg","ARTENGO","Eredeti rögzítő, tökéletes az asztalhoz.  ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","1190.00 HUF",""
"8211116","Futás matrica, arany","http://www.decathlon.hu/futas-matrica-arany-id_8211116.html","http://www.decathlon.hu/media/821/8211116/big_905163.jpg","WORKSHOP","öntapadós érem személyre szabáshoz.","SPORTÉRMEK, DÍJAK","90.00 HUF",""
"8171169","Összeállított asztallap, 877 O","http://www.decathlon.hu/osszeallitott-asztallap-877-o-id_8171169.html","http://www.decathlon.hu/media/817/8171169/big_835161.jpg","ARTENGO","Asztallap ARTENGO 877 O pingpong asztalhoz.  ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","99990.00 HUF",""
"8193171","ARTENGO FT730 csavarkészlet","http://www.decathlon.hu/artengo-ft730-csavarkeszlet-id_8193171.html","http://www.decathlon.hu/media/819/8193171/big_1119135.jpg","ARTENGO","ARTENGO 730 I és 730 I New csavarkészlet!","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","2890.00 HUF",""
"8204194","Mini futballkapu csavarkészlet","http://www.decathlon.hu/mini-futballkapu-csavarkeszlet-id_8204194.html","http://www.decathlon.hu/media/820/8204194/big_1120820.jpg","KIPSTA","A mini futballkapu eredeti csavarjai.  ","MŰHELYSZOLGÁLTATÁSOK CSAPATSPORTOKHOZ","790.00 HUF",""
"8310569","ARTENGO levehető hálótartó","http://www.decathlon.hu/artengo-leveheto-halotarto-id_8310569.html","http://www.decathlon.hu/media/831/8310569/big_134979.jpg","ARTENGO","Könnyen állítható a háló feszültsége. ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","2290.00 HUF",""
"8125466","KIS KERESZTMEREVÍTŐ","http://www.decathlon.hu/kis-keresztmerevito--id_8125466.html","http://www.decathlon.hu/media/812/8125466/big_838687.jpg","ARTENGO","Eredeti kis keresztmerevítő ARTENGO asztalhoz. ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","990.00 HUF",""
"5581875","Pingpongasztal tartozék","http://www.decathlon.hu/pingpongasztal-tartozek-id_5581875.html","http://www.decathlon.hu/media/558/5581875/big_910642.jpg","ARTENGO","","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","11990.00 HUF",""
"3320303","Görgők","http://www.decathlon.hu/gorgok-id_3320303.html","http://www.decathlon.hu/media/332/3320303/big_916517.jpg","ARTENGO","","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","3490.00 HUF",""
"8125467","ARTENGO FT855 O és 877 O háló","http://www.decathlon.hu/artengo-ft855-o-es-877-o-halo-id_8125467.html","http://www.decathlon.hu/media/812/8125467/big_841119.jpg","ARTENGO","ARTENGO FT855 O és FT877 O háló","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","2290.00 HUF",""
"8300196","Háló Artengo FT 720-hoz","http://www.decathlon.hu/halo-artengo-ft-720-hoz-id_8300196.html","http://www.decathlon.hu/media/830/8300196/big_134784.jpg","ARTENGO","","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","2290.00 HUF",""
"5582030","Nagy keresztmerevítő","http://www.decathlon.hu/nagy-keresztmerevito-id_5582030.html","http://www.decathlon.hu/media/558/5582030/big_922513.jpg","ARTENGO","","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","7690.00 HUF",""
"8279637","Kupa C160 ezüst/ kék","http://www.decathlon.hu/kupa-c160-ezust-kek-id_8279637.html","http://www.decathlon.hu/media/827/8279637/big_1302089.jpg","TROPHEE VAINQUEUR","Szépen mutat a sportot ábrázoló „érem” matricával","SPORTÉRMEK, DÍJAK","2490.00 HUF",""
"8211111","Kupa C540 ezüst/ kék","http://www.decathlon.hu/kupa-c540-ezust-kek-id_8211111.html","http://www.decathlon.hu/media/821/8211111/big_1302067.jpg","TROPHEE VAINQUEUR","","SPORTÉRMEK, DÍJAK","4990.00 HUF",""
"8029179","2 db hálótartó rúd","http://www.decathlon.hu/2-db-halotarto-rud-id_8029179.html","http://www.decathlon.hu/media/802/8029179/big_814646.jpg","ARTENGO","","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","1390.00 HUF",""
"8203987","Mini futballkapu háló ","http://www.decathlon.hu/mini-futballkapu-halo--id_8203987.html","http://www.decathlon.hu/media/820/8203987/big_1123178.jpg","KIPSTA","A mini futballkapu eredeti hálója.  ","MŰHELYSZOLGÁLTATÁSOK CSAPATSPORTOKHOZ","2790.00 HUF",""
"8029178","Biztonsági ütköző","http://www.decathlon.hu/biztonsagi-utkozo-id_8029178.html","http://www.decathlon.hu/media/802/8029178/big_892276.jpg","ARTENGO","","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","2290.00 HUF",""
"8162316","ARTENGO kerék 855 O, 877 O","http://www.decathlon.hu/artengo-kerek-855-o-877-o-id_8162316.html","http://www.decathlon.hu/media/816/8162316/big_134737.jpg","ARTENGO","ARTENGO 855 O, 877 O, 5005, 7005 és 4C kerék.  ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","2990.00 HUF",""
"8114017","855 O és 877 O ütőtartó","http://www.decathlon.hu/855-o-es-877-o-utotarto-id_8114017.html","http://www.decathlon.hu/media/811/8114017/big_832960.jpg","ARTENGO","ARTENGO 855 O és 877 O pingpongütő tartó!","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","1690.00 HUF",""
"8327553","Kupa C900 arany/ezüst","http://www.decathlon.hu/kupa-c900-arany-ezust-id_8327553.html","http://www.decathlon.hu/media/832/8327553/big_1302088.jpg","TROPHEE VAINQUEUR","Szépen mutat a sportot ábrázoló „érem” matricával","SPORTÉRMEK, DÍJAK","6990.00 HUF",""
"8211117","Tenisz érem, arany","http://www.decathlon.hu/tenisz-erem-arany-id_8211117.html","http://www.decathlon.hu/media/821/8211117/big_352569.jpg","WORKSHOP","Öntapadós érem személyre szabáshoz.","SPORTÉRMEK, DÍJAK","90.00 HUF",""
"8029175","ARTENGO FT714 O pingpong háló","http://www.decathlon.hu/artengo-ft714-o-pingpong-halo-id_8029175.html","http://www.decathlon.hu/media/802/8029175/big_889932.jpg","ARTENGO","ARTENGOFT714 O háló pingpongasztalhoz.","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","2990.00 HUF",""
"8098639","Mini futballkapu háló rögzítő","http://www.decathlon.hu/mini-futballkapu-halo-rogzito-id_8098639.html","http://www.decathlon.hu/media/809/8098639/big_1119177.jpg","KIPSTA","","MŰHELYSZOLGÁLTATÁSOK CSAPATSPORTOKHOZ","390.00 HUF",""
"8211104","Kupa C100, arany","http://www.decathlon.hu/kupa-c100-arany-id_8211104.html","http://www.decathlon.hu/media/821/8211104/big_1302046.jpg","WORKSHOP","Szépen mutat a sportot ábrázoló „érem” matricával","SPORTÉRMEK, DÍJAK","990.00 HUF",""
"8211113","Futball matrica, arany","http://www.decathlon.hu/futball-matrica-arany-id_8211113.html","http://www.decathlon.hu/media/821/8211113/big_352563.jpg","WORKSHOP","Öntapadós érem személyre szabáshoz.","SPORTÉRMEK, DÍJAK","90.00 HUF",""
"8211114","Érem matrica, arany","http://www.decathlon.hu/erem-matrica-arany-id_8211114.html","http://www.decathlon.hu/media/821/8211114/big_352565.jpg","WORKSHOP","Öntapadós érem személyre szabáshoz.","SPORTÉRMEK, DÍJAK","90.00 HUF",""
"8278843","ARTENGO FT950 C hálótartó","http://www.decathlon.hu/artengo-ft950-c-halotarto-id_8278843.html","http://www.decathlon.hu/media/827/8278843/big_134774.jpg","ARTENGO","ARTENGO FT950 Club levehető hálótartó. ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","6290.00 HUF",""
"8029168","(alsó) keresztrúd","http://www.decathlon.hu/also-keresztrud-id_8029168.html","http://www.decathlon.hu/media/802/8029168/big_912977.jpg","ARTENGO","","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","11900.00 HUF",""
"8029173","RÚD + BIZTONSÁGI FORGÓCSAP","http://www.decathlon.hu/rud-biztonsagi-forgocsap--id_8029173.html","http://www.decathlon.hu/media/802/8029173/big_821803.jpg","ARTENGO","Eredeti vezetőrúd és biztonsági forgócsap! ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","17990.00 HUF",""
"8171184","NAGY KERESZTMEREVÍTŐ, JOBB","http://www.decathlon.hu/nagy-keresztmerevito-jobb--id_8171184.html","http://www.decathlon.hu/media/817/8171184/big_838720.jpg","ARTENGO","Jobboldali nagy keresztmerevítő ARTENGO 855 O-hoz.","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","4890.00 HUF",""
"8327554","Kupa C920, arany","http://www.decathlon.hu/kupa-c920-arany-id_8327554.html","http://www.decathlon.hu/media/832/8327554/big_1302097.jpg","TROPHEE VAINQUEUR","Szépen mutat a sportot ábrázoló „érem” matricával","SPORTÉRMEK, DÍJAK","8990.00 HUF",""
"8171173","Irányítórendszer","http://www.decathlon.hu/iranyitorendszer-id_8171173.html","http://www.decathlon.hu/media/817/8171173/big_854477.jpg","ARTENGO","Praktikus és funkcionális, abszolút biztonságos! ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","9890.00 HUF",""
"8182945","Blokkoló tengely-FT730 I","http://www.decathlon.hu/blokkolo-tengely-ft730-i-id_8182945.html","http://www.decathlon.hu/media/818/8182945/big_823335.jpg","ARTENGO","ARTENGO FT730 I blokkoló tengely.  ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","2790.00 HUF",""
"8183158","Fém összekötő elem","http://www.decathlon.hu/fem-osszekoto-elem-id_8183158.html","http://www.decathlon.hu/media/818/8183158/big_823329.jpg","ARTENGO","Fém összekötő elem FT730 I és FT840 I asztalokhoz","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","1890.00 HUF",""
"8338000","Classic mini futballkapu háló","http://www.decathlon.hu/classic-mini-futballkapu-halo-id_8338000.html","http://www.decathlon.hu/media/833/8338000/big_1119195.jpg","KIPSTA","A mini futballkapu eredeti hálója.  ","MŰHELYSZOLGÁLTATÁSOK CSAPATSPORTOKHOZ","2690.00 HUF",""
"8182948","KIS KERESZTMEREVÍTŐ","http://www.decathlon.hu/kis-keresztmerevito--id_8182948.html","http://www.decathlon.hu/media/818/8182948/big_825260.jpg","ARTENGO","Eredeti kis keresztmerevítő ARTENGO asztalhoz. ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","2790.00 HUF",""
"8327215","Aranyérem, 50 mm","http://www.decathlon.hu/aranyerem-50-mm-id_8327215.html","http://www.decathlon.hu/media/832/8327215/big_346716.jpg","TROPHEE VAINQUEUR","Sportághoz szabható.","SPORTÉRMEK, DÍJAK","190.00 HUF",""
"8338040","CLASSIC GOAL M/L hálótartó","http://www.decathlon.hu/classic-goal-m-l-halotarto-id_8338040.html","http://www.decathlon.hu/media/833/8338040/big_1162578.jpg","KIPSTA","Hálótartó Classic Goal m/l kapuhoz","MŰHELYSZOLGÁLTATÁSOK CSAPATSPORTOKHOZ","1690.00 HUF",""
"8182947","Nagy pánt","http://www.decathlon.hu/nagy-pant-id_8182947.html","http://www.decathlon.hu/media/818/8182947/big_831515.jpg","ARTENGO","Eredeti nagy keresztmerevítő ARTENGO asztalhoz. ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","2990.00 HUF",""
"8327216","EZÜSTÉREM, 50 mm","http://www.decathlon.hu/ezusterem-50-mm-id_8327216.html","http://www.decathlon.hu/media/832/8327216/big_346710.jpg","TROPHEE VAINQUEUR","Sportághoz szabható.","SPORTÉRMEK, DÍJAK","190.00 HUF",""
"8338007","Classic mini futballkapu háló","http://www.decathlon.hu/classic-mini-futballkapu-halo-id_8338007.html","http://www.decathlon.hu/media/833/8338007/big_1119201.jpg","KIPSTA","A mini futballkapu eredeti hálója.  ","MŰHELYSZOLGÁLTATÁSOK CSAPATSPORTOKHOZ","4990.00 HUF",""
"8338001","Classic mini futballkapu háló","http://www.decathlon.hu/classic-mini-futballkapu-halo-id_8338001.html","http://www.decathlon.hu/media/833/8338001/big_1119197.jpg","KIPSTA","Egyszerű és megbízható használat.  ","MŰHELYSZOLGÁLTATÁSOK CSAPATSPORTOKHOZ","3990.00 HUF",""
"8183156","Fém szögvas","http://www.decathlon.hu/fem-szogvas-id_8183156.html","http://www.decathlon.hu/media/818/8183156/big_812014.jpg","ARTENGO","Eredeti szögvas ARTENGO asztalhoz.  ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","1190.00 HUF",""
